feature,Random Forest_importance,Random Forest_rank,XGBoost_importance,XGBoost_rank
follow_up_days,0.14657591710244672,1,0.9999999999999981,1
直接胆红素（DBIL）,0.016176099368191477,17,3.785479650673691e-16,2
Γ-谷氨酰基转移酶（γ-GGT）,0.011078277191137235,39,3.4996196312864327e-16,3
白蛋白（ALB）,0.011220331420565114,37,3.1049378999733434e-16,4
血红蛋白（HGB）,0.021303222439877433,8,2.731912230735046e-16,5
尿酸（UA）,0.008575630292258262,45,2.346975727355613e-16,6
干细胞来源_外周干细胞,0.0007150242489715518,121,6.410194374138515e-17,7
是否合并CNSL_无,0.0010817136020799007,101,6.269429970652366e-17,8
IgM,0.012652160498737845,32,5.630576139445993e-17,9
PLT,0.010848876479646689,41,2.823409093001044e-17,10
碱性磷酸酯酶（ALP）,0.0218230392087098,7,2.2738865178531893e-17,11
APTT,0.014777929388642199,20,2.078981959180059e-17,12
IgG,0.013012812440979574,30,1.840765276357344e-17,13
HBsAg（乙肝表面抗原）_阳性,0.0009531307693842713,109,1.6025485935346287e-17,14
age_at_transplant,0.018444103295778193,11,1.5159243452354596e-17,15
身高,0.012477509611065153,34,6.06369738094184e-18,16
肺CT_正常,0.0021939315242686377,69,3.4649699319667647e-18,17
胸片_未检查,0.0014818949722466815,86,2.165606207479228e-18,18
移植前疾病状态_不详,0.00014851591485874163,143,0.0,42
移植前疾病状态_RE,0.00018888570081282855,138,0.0,41
