Host_label	Total_count	Written_count
Salmonella	31511	31511
Bacteroides	29910	29910
Lachnospiraceae	23584	23584
Faecalibacterium	22247	22247
Bacteroidaceae	17508	17508
Escherichia	16335	16335
Prevotella	14834	14834
Streptococcus	12872	12872
Oscillospirales	10880	10880
Bacteroidales	10838	10838
Lawsonia	10132	10132
Bifidobacterium	9884	9884
Klebsiella	9563	9563
Parabacteroides	9140	9140
Ruminococcus	8726	8726
Staphylococcus	8703	8703
Pseudomonas	8115	8115
Oscillospiraceae	7408	7408
Clostridia	6610	6610
Alistipes	6488	6488
Mycobacterium	6070	6070
Clostridioides	5568	5568
Blautia	4958	4958
Clostridium	4872	4872
Roseburia	4822	4822
Enterococcus	4518	4518
Bacteroides_B	4436	4436
Enterobacter	4400	4400
Bacillus	4372	4372
Agathobacter	4318	4318
Listeria	3976	3976
Veillonella	3717	3717
Acinetobacter	3668	3668
Gemmiger	3513	3513
Lachnospira	3497	3497
Anaerostipes	2962	2962
Flavonifractor	2907	2907
Vibrio	2788	2788
Eubacterium	2602	2602
Coprococcus	2365	2365
Dorea	2322	2322
Phascolarctobacterium	2283	2283
ER4	2224	2224
Neisseria	2127	2127
Phocaeicola	2096	2096
Enterobacteriaceae	2049	2049
Fusicatenibacter	1973	1973
Ruminococcus_E	1932	1932
CAG-170	1929	1929
Ruminococcaceae	1911	1911
Corynebacterium	1865	1865
Lactobacillus	1803	1803
Collinsella	1791	1791
Burkholderia	1755	1755
Citrobacter	1623	1623
Haemophilus	1570	1570
CAG-83	1559	1559
Holdemanella	1551	1551
Blautia_A	1530	1530
Firmicutes	1495	1495
Serratia	1435	1435
Sutterella	1399	1399
Barnesiella	1347	1347
Lactococcus	1332	1332
Rikenellaceae	1315	1315
Streptomyces	1293	1293
Megamonas	1288	1288
Ruminococcus_D	1252	1252
GCA	1242	1242
Intestinimonas	1240	1240
Ruminiclostridium	1238	1238
Akkermansia	1176	1176
Odoribacter	1158	1158
UBA11524	1143	1143
Clostridiales	1141	1141
Parasutterella	1116	1116
Dialister	1108	1108
Erysipelatoclostridium	1093	1093
Bacteroides_A	1062	1062
Campylobacter	1021	1021
CAG-508	1002	1002
Ruthenibacterium	980	980
Yersinia	949	949
Fusobacterium	932	932
Actinomyces	921	921
Faecalicatena	912	912
Gordonia	896	896
Gammaproteobacteria	876	876
Agathobaculum	870	870
Bilophila	859	859
CAG-41	849	849
Acetatifactor	745	745
Catenibacterium	736	736
Intestinibacter	686	686
Microbacterium	683	683
Xanthomonas	674	674
Aeromonas	669	669
Sinorhizobium	664	664
bacterium	655	655
Stenotrophomonas	654	654
Eggerthella	648	648
Clostridium_M	640	640
Shigella	607	607
Pseudomonadaceae	580	580
GCF	576	576
Hungatella	575	575
Proteus	574	574
Mycolicibacterium	544	544
Candidatus	540	540
RC9	523	523
Tyzzerella	521	521
Arthrobacter	520	520
Elizabethkingia	506	506
Bacilli	500	500
Paenibacillus	493	493
Megasphaera	481	481
Cronobacter	466	466
Phascolarctobacterium_A	462	462
Proteobacteria	459	459
CAG-115	458	458
Tidjanibacter	452	452
Lacticaseibacillus	438	438
UBA660	435	435
Eubacterium_E	435	435
CAG-177	423	423
Lactiplantibacillus	417	417
human	416	416
Bacteroidota	414	414
Pantoea	411	411
CAG-103	411	411
Butyricimonas	409	409
Moraxella	409	409
Prochlorococcus	408	408
Acutalibacteraceae	402	402
Butyricicoccus	396	396
CAG-110	390	390
Acidaminococcus	389	389
Pauljensenia	387	387
Enterocloster	376	376
Burkholderiaceae	373	373
RF39	368	368
Oscillibacter	362	362
Eisenbergiella	361	361
Coriobacteriales	359	359
Ralstonia	349	349
Ruminiclostridium_E	336	336
Comamonas	335	335
Rothia	325	325
Duodenibacillus	320	320
Succinivibrio	318	318
Gordonibacter	312	312
CAG-273	311	311
Prevotellamassilia	310	310
Anaerobutyricum	304	304
Providencia	304	304
CAG-138	299	299
KLE1615	292	292
CAG-269	291	291
Pasteurellaceae	288	288
Mycobacteroides	287	287
Leptotrichia	287	287
Caecibacter	283	283
Angelakisella	283	283
UBA738	277	277
CAG-127	273	273
Pasteurella	270	270
Achromobacter	270	270
CAG-217	265	265
Capnocytophaga	264	264
Pseudoalteromonas	264	264
Synechococcus	260	260
Mitsuokella	259	259
Rhodococcus	259	259
Pectobacterium	257	257
CAG-74	256	256
Rhizobium	251	251
Gemella	246	246
Porphyromonas	245	245
Leuconostoc	235	235
Ruminococcus_C	227	227
Paraprevotella	226	226
Helicobacter	225	225
Marinomonas	224	224
Propionibacterium	223	223
TF01-11	216	216
CAG-353	211	211
Sphingomonas	210	210
Faecalibacillus	210	210
CAG-65	209	209
Leptospira	204	204
CAG-302	204	204
NA;Roseburia	202	202
Cryptobacteroides	202	202
Faecousia	202	202
Aggregatibacter	199	199
Absiella	199	199
Erwinia	199	199
Eubacterium_G	198	198
Anaerotignum	197	197
Clostridium_Q	197	197
Ligilactobacillus	191	191
Halomonas	188	188
Desulfovibrio	187	187
Actinomycetaceae	187	187
Selenomonas	185	185
Lachnoclostridium	184	184
Novosphingobium	182	182
Lachnoanaerobaculum	179	179
Muribaculaceae	177	177
