entity1,entity1_type,relation,entity2,entity2_type,pdf_name,source
monkeypox virus,disease,molecular interaction or relation,dna virus,gene,PMC10446231,the monkeypox virus (mpv) is a smallpox-related orthopox dna virus from the poxviridae family [1–3].
monkeypox virus,disease,transmission by,direct contact,other,PMC10446231,"human-to-human transmission may result from close physical contact with an infected person or animal through respiratory droplets, bodily fluids, lesions, and contaminated objects like bedding [5, 6]."
monkeypox virus,disease,state change,mutation rate,measurement,PMC10446231,"it is found that the nucleotide mutation rates are decreasing, and the balance between bi-directional rates are maintained."
lstm model,tool,used for,prediction of mutation rate,measurement,PMC10446231,"the lstm model shows “root mean square error” (rmse) values of 0.09 and 0.08 for testing and training, respectively."
monkeypox virus,disease,phenotypic consequence,virus behavior,behavior,PMC10446231,"the balance between forward and backward mutation has been seen. the amount of nucleotide mutated from t!c and c!t; t!g and g!t are almost equal, t!a and a!t differ by 0.1%, the big difference of 6.2% is seen for c!a and a!c, c!g and g!c are also differ by 2.1%, 0.1% difference has been seen between a!g and g!a."
gru model,tool,comparison,lstm model,tool,PMC10446231,"for gru, we used a simple model architecture consisting of (12,12) input shape, followed by bidirectional gru layer with 32-unit, tanh activation, sigmoid recurrent activation as encoder layer."
ncbi database,data source,source of data,gene data,gene,PMC10446231,"we have filtered a large number of entities using the gene sequence, sample nation, and collection date till: 24th july 2022. all genes were taken from the monkeypox-affected human body."
monkeypox virus,disease,indirect effect,gene mutation rate,measurement,PMC10446231,"it is found that the nucleotide mutation rates are decreasing, and the balance between bi-directional rates are maintained."
monkeypox virus,disease,binding/association,respiratory secretions,other,PMC10446231,"human-to-human transmission may result from close physical contact with an infected person or animal through respiratory droplets, bodily fluids, lesions, and contaminated objects like bedding [5, 6]."
monkeypox virus,disease,dephosphorylation,lesions,other,PMC10446231,"until the rash is entirely gone and a new layer of skin has formed on the sick person, monkeypox is communicable from the time when the symptoms start to manifest."
monkeypox virus,disease,ubiquitination,pregnant individuals,other,PMC10446231,"through the placenta, a pregnant individual can transmit the virus to their unborn child, which is too dangerous for the child."
monkeypox virus,disease,glycosylation,air travelers,other,PMC10446231,"air travelers are crucial in the spread of sickness [7, 8]."
monkeypox virus,disease,methylation,wildlife reservoirs,other,PMC10446231,the natural reservoirs are probably different african rodents and primates [5].
monkeypox virus,disease,activation,immune response,other,PMC10446231,"monkeypox was initially detected in colonies of monkeys held for research in 1958 following two outbreaks of a condition resembling pox [9, 10]."
monkeypox virus,disease,inhibition,smallpox-related,other,PMC10446231,the monkeypox virus (mpv) is a smallpox-related orthopox dna virus from the poxviridae family [1–3].
monkeypox virus,disease,indirect effect,genome sequence,gene,PMC10446231,this study analyzed the genome sequence based on codon and nucleotide separately.
monkeypox virus,disease,complex formation,multi-protein complex,other,PMC10446231,the nucleotide mutation rate is determined using the first filtered dataset.
monkeypox virus,disease,expression,gene expression,gene,PMC10446231,"additionally, depending on the size and availability of the gene dataset, the computed mutation rate is split into three categories: canada, germany, and the rest of the world."
monkeypox virus,disease,replication,dna replication,other,PMC10446231,monkeypox is a double-stranded dna virus with an envelope and is a member of the poxviridae family.
monkeypox virus,disease,hydrolysis,bacterial peptidoglycan,other,PMC10446231,"monkeypox was initially detected in colonies of monkeys held for research in 1958 following two outbreaks of a condition resembling pox [9, 10]."
